Endpoint,Latency (ms)
162.159.193.188:2408,28
162.159.204.92:2408,28
162.159.192.65:2408,28
162.159.195.89:2408,28
188.114.99.173:2408,28
188.114.97.223:2408,28
188.114.96.227:2408,28
162.159.193.70:2408,28
162.159.192.21:2408,28
188.114.99.157:2408,29
162.159.204.177:2408,29
162.159.193.188:2408,29
162.159.204.177:2408,29
188.114.99.173:2408,29
188.114.96.187:2408,29
162.159.195.235:2408,29
188.114.99.216:2408,29
188.114.96.223:2408,29
188.114.97.48:2408,29
188.114.97.8:2408,29
162.159.204.243:2408,29
188.114.96.254:2408,29
188.114.96.227:2408,30
188.114.96.187:2408,30
188.114.99.216:2408,30
